# PcbXY Version 1.0
# Date: Sun 04 Aug 2013 12:33:00 GMT UTC
# Author: Richard Barlow
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
J1,"camcon2","sr-cn-camcon2w",6.25,9.75,90,top
L1,"ind_4","sr-l-22u-6300ma",26.09,9.28,0,top
LED2,"sr_0603_led","sr-led-red-0603",16.04,58.20,180,bottom
S/F1,"1206","sr-fuse-r50-1206",16.75,46.70,0,bottom
S/S/J1,"8P8C","sr-cn-8p8c",10.10,30.79,180,top
S/D3,"SOT23","sr-d-mmbz5v6al",19.11,32.81,90,bottom
S/U4,"SOT262","sr-ic-pic10f200",6.36,31.58,180,bottom
S/D5,"SOT23","sr-d-mmbz5v6al",20.95,51.04,90,bottom
R17,"sr_0603","sr-r-1k",27.75,41.55,90,bottom
D3,"SOD323","sr-d-bzx384c3v3",38.25,24.00,90,top
R12,"sr_0603","sr-r-1k",27.75,25.25,90,bottom
R10,"sr_0603","sr-r-1k",27.75,18.75,90,bottom
Q1,"SO8","sr-fet-p-irf9328",13.25,15.75,90,top
C5,"1210","sr-c-22u-1210",38.25,11.10,0,bottom
J10,"JUMPER3","sr-cn-header3",32.75,41.50,0,bottom
C6,"1210","sr-c-22u-1210",2.25,6.75,90,bottom
U1,"TSSOP8","sr-ic-lm3489",18.96,10.26,180,bottom
D2,"SOD323","sr-d-bzx384c3v3",38.25,31.81,90,top
C8,"sr_0603","sr-c-100n",14.25,10.51,90,bottom
C3,"sr_0603","sr-c-2n2",12.00,10.51,90,bottom
R8,"sr_0603","sr-r-1k",38.25,27.25,0,top
S/D6,"SOT23","sr-d-gsot15",15.58,28.18,270,bottom
R16,"sr_0603","sr-r-1k",27.75,38.25,90,bottom
J6,"JUMPER4","sr-cn-header4",8.21,58.20,0,top
C1,"sr_0603","sr-c-100n",28.49,48.00,0,top
U3,"TSSOP38","sr-ic-msp430f2254",32.91,53.37,0,top
R20,"sr_0603","sr-r-1k",37.30,56.80,90,bottom
J8,"JUMPER3","sr-cn-header3",32.75,35.00,0,bottom
J7,"JUMPER3","sr-cn-header3",32.75,31.75,0,bottom
X1,"RCY50","sr-xtal-32k",29.00,44.20,270,top
D1,"TO277A","sr-d-v8p10",11.73,9.75,90,top
R4,"sr_0603","sr-r-100k",20.80,4.00,180,bottom
Q3,"SOT323","sr-fet-n-sn7002w",20.56,6.24,0,bottom
C9,"RCY100P_2","sr-c-220u-10v",38.27,4.75,0,top
C10,"RCY100P_2","sr-c-220u-10v",38.27,14.00,0,top
C7,"1210","sr-c-22u-1210",2.25,12.75,270,bottom
Q2,"SO8","sr-fet-n-irf8721",13.25,3.00,270,top
R3,"sr_0603","sr-r-3k3",24.10,10.80,270,bottom
R1,"sr_0603","sr-r-10k",24.10,7.80,270,bottom
C2,"sr_0603","sr-c-2n2",25.80,10.80,270,bottom
S/F3,"1206","sr-fuse-r50-1206",16.75,52.10,0,bottom
S/F2,"1206","sr-fuse-r50-1206",16.75,44.35,0,bottom
J5,"JUMPER3","sr-cn-header3",32.75,28.50,0,bottom
J4,"JUMPER3","sr-cn-header3",32.75,25.25,0,bottom
C11,"sr_0603","sr-c-100n",28.00,56.80,270,bottom
R2,"sr_0603","sr-r-39k-1pc",10.25,10.51,90,bottom
S/U2,"TSSOP16","sr-ic-sn65lvds051",4.55,48.53,0,bottom
S/D4,"SOT23","sr-d-mmbz5v6al",20.95,46.06,270,bottom
S/LED1,"dual_led","sr-led-redgreen",19.00,23.10,0,bottom
S/J3,"JUMPER5","sr-cn-header5",6.96,20.60,0,top
S/D1,"SOD80","sr-d-ll4448",2.93,28.30,180,bottom
S/D2,"SOD80","sr-d-ll4448",8.87,23.70,0,bottom
S/U1,"SOT223","sr-ic-ld1117s33",9.35,39.51,0,bottom
S/C2,"0805","sr-c-2u2-0805",1.65,39.75,270,bottom
R5,"sr_0603","sr-r-330",28.00,11.50,270,bottom
LED1,"PLCC2","sr-led-green-plcc2",25.75,14.75,180,bottom
R6,"sr_0603","sr-r-100k",1.50,58.20,270,top
R9,"sr_0603","sr-r-1k",38.25,21.00,180,top
R21,"sr_0603","sr-r-1k",32.00,56.80,90,bottom
S/Q1,"SOT23","sr-fet-p-bss84lt1g",15.10,19.32,180,bottom
S/C1,"sr_0603","sr-c-470n",8.14,44.50,0,bottom
S/R4,"sr_0603","sr-r-330",16.50,32.06,90,bottom
S/R7,"sr_0603","sr-r-100",15.74,34.10,180,bottom
S/R6,"sr_0603","sr-r-100",17.35,19.66,270,bottom
S/R5,"sr_0603","sr-r-100",18.75,19.66,270,bottom
S/R2,"sr_0603","sr-r-10k",14.04,24.80,0,bottom
S/R1,"sr_0603","sr-r-10k",14.04,23.30,0,bottom
S/C4,"sr_0603","sr-c-100n",1.94,32.40,0,bottom
S/C6,"sr_0603","sr-c-100n",2.00,30.70,180,bottom
S/R8,"sr_0603","sr-r-330",15.05,32.06,90,bottom
S/C3,"sr_0603","sr-c-470n",1.40,52.94,270,bottom
S/R3,"sr_0603","sr-r-1k",2.00,34.30,180,bottom
S/D9,"SOT23","sr-d-mmbz5v6al",19.11,32.81,180,top
S/D8,"SOT23","sr-d-mmbz5v6al",20.95,51.04,180,top
S/D7,"SOT23","sr-d-mmbz5v6al",20.95,46.06,0,top
S/S/J2,"8P8C","sr-cn-8p8c",10.10,48.28,180,top
S/F4,"1206","sr-fuse-r50-1206",16.75,49.60,0,bottom
J3,"JUMPER3","sr-cn-header3",32.75,22.00,0,bottom
J2,"JUMPER3","sr-cn-header3",32.75,18.75,0,bottom
R23,"sr_0603","sr-r-100k",35.30,56.80,270,bottom
R19,"sr_0603","sr-r-1k",37.30,47.00,270,bottom
R15,"sr_0603","sr-r-1k",27.75,35.00,90,bottom
R13,"sr_0603","sr-r-1k",27.75,28.50,90,bottom
R11,"sr_0603","sr-r-1k",27.75,22.00,90,bottom
R7,"sr_0603","sr-r-1k",38.25,35.00,0,top
U2,"TSSOP16","sr-ic-74hct238",33.65,51.87,180,bottom
J9,"JUMPER3","sr-cn-header3",32.75,38.25,0,bottom
R22,"sr_0603","sr-r-100k",35.30,47.00,90,bottom
R26,"sr_0603","sr-r-1k",19.30,58.20,180,bottom
R25,"sr_0603","sr-r-100k",30.00,47.00,90,bottom
R18,"sr_0603","sr-r-1k",32.00,47.00,270,bottom
